,visiting team,home team,venue,date,game start,attendance,seating capacity,weekday
113,Minnesota,New York,Prudential Center,"Dec 22, 2024",12:07 PM EST,2722,16514,Sunday
114,Boston,Toronto,Coca-Cola Coliseum,"Dec 27, 2024",7:08 PM EST,8264,7851,Friday
115,Montréal,Minnesota,Xcel Energy Center,"Dec 28, 2024",1:12 PM CST,8726,18300,Saturday
116,Ottawa,New York,Prudential Center,"Dec 29, 2024",1:07 PM EST,2946,16514,Sunday
117,Boston,Montréal,Place Bell,"Dec 30, 2024",7:08 PM EST,10172,10062,Monday
118,Ottawa,Toronto,Coca-Cola Coliseum,"Dec 31, 2024",7:07 PM EST,8278,7851,Tuesday
119,Boston,Minnesota,Xcel Energy Center,"Jan 2, 2025",6:38 PM CST,5066,18300,Thursday
120,New York,Minnesota,Xcel Energy Center,"Jan 4, 2025",1:12 PM CST,6414,18300,Saturday
121,Montréal,Boston,Climate Pledge Arena,"Jan 5, 2025",1:08 PM PST,12608,17200,Sunday
122,Ottawa,New York,Prudential Center,"Jan 7, 2025",7:07 PM EST,1569,16514,Tuesday
123,Boston,Minnesota,Xcel Energy Center,"Jan 8, 2025",6:37 PM CST,4248,18300,Wednesday
